ID,T,tau,time,N_total,N_bulk,N_surface,Volume,R_min,R_max,R_diff,R_avg,R_std,R_skew,R_kurt,S_100,S_111,S_110,S_311,Curve_1-10,Curve_11-20,Curve_21-30,Curve_31-40,Curve_41-50,Curve_51-60,Curve_61-70,Curve_71-80,Curve_81-90,Curve_91-100,Curve_101-110,Curve_111-120,Curve_121-130,Curve_131-140,Curve_141-150,Curve_151-160,Curve_161-170,Curve_171-180,Avg_total,Avg_bulk,Avg_surf,TCN_0,TCN_1,TCN_2,TCN_3,TCN_4,TCN_5,TCN_6,TCN_7,TCN_8,TCN_9,TCN_10,TCN_11,TCN_12,TCN_13,TCN_14,TCN_15,TCN_16,TCN_17,TCN_18,TCN_19,TCN_20,BCN_0,BCN_1,BCN_2,BCN_3,BCN_4,BCN_5,BCN_6,BCN_7,BCN_8,BCN_9,BCN_10,BCN_11,BCN_12,BCN_13,BCN_14,BCN_15,BCN_16,BCN_17,BCN_18,BCN_19,BCN_20,SCN_0,SCN_1,SCN_2,SCN_3,SCN_4,SCN_5,SCN_6,SCN_7,SCN_8,SCN_9,SCN_10,SCN_11,SCN_12,SCN_13,SCN_14,SCN_15,SCN_16,SCN_17,SCN_18,SCN_19,SCN_20,Avg_bonds,Std_bonds,Max_bonds,Min_bonds,N_bonds,FCC,HCP,ICOS,DECA,angle_avg,angle_std,q6q6_avg_total,q6q6_avg_bulk,q6q6_avg_surf,q6q6_T0,q6q6_T1,q6q6_T2,q6q6_T3,q6q6_T4,q6q6_T5,q6q6_T6,q6q6_T7,q6q6_T8,q6q6_T9,q6q6_T10,q6q6_T11,q6q6_T12,q6q6_T13,q6q6_T14,q6q6_T15,q6q6_T16,q6q6_T17,q6q6_T18,q6q6_T19,q6q6_T20,q6q6_T20+,q6q6_B0,q6q6_B1,q6q6_B2,q6q6_B3,q6q6_B4,q6q6_B5,q6q6_B6,q6q6_B7,q6q6_B8,q6q6_B9,q6q6_B10,q6q6_B11,q6q6_B12,q6q6_B13,q6q6_B14,q6q6_B15,q6q6_B16,q6q6_B17,q6q6_B18,q6q6_B19,q6q6_B20,q6q6_B20+,q6q6_S0,q6q6_S1,q6q6_S2,q6q6_S3,q6q6_S4,q6q6_S5,q6q6_S6,q6q6_S7,q6q6_S8,q6q6_S9,q6q6_S10,q6q6_S11,q6q6_S12,q6q6_S13,q6q6_S14,q6q6_S15,q6q6_S16,q6q6_S17,q6q6_S18,q6q6_S19,q6q6_S20,q6q6_S20+,Surf_defects_mol,Surf_micros_mol,Surf_facets_mol,Total_E,Formation_E
92,273,0.00025,2,435,205,230,6.39E-27,6.9071,13.7118,6.8047,10.517,1.4978,-0.3555,-0.5817,0,18,37,1,34,76,72,42,4,2,0,0,0,0,0,0,0,0,0,0,0,0,10.2667,12.3659,8.3957,0,0,0,0,0,4,23,29,70,52,36,39,90,80,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,85,80,12,0,0,0,0,0,0,0,0,0,0,0,4,23,29,70,52,35,12,5,0,0,0,0,0,0,0,0,2.77124,0.19773,3.39969,2.3421,2233,4,4,0,1,94.5419,34.05267456,1.9402,2.4976,1.4435,182,86,43,37,20,18,15,6,14,5,2,4,1,2,0,0,0,0,0,0,0,0,77,32,19,20,13,10,10,4,8,4,1,4,1,2,0,0,0,0,0,0,0,0,105,54,24,17,7,8,5,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,132.274,399.183,-1495.1359,205.7141
93,273,0.00025,3,738,381,357,1.08E-26,8.86,20.3624,11.5024,12.905,2.2685,0.9235,0.708,7,36,37,43,66,31,146,97,15,1,1,0,0,0,0,0,0,0,0,0,0,0,10.1003,12.0184,8.0532,0,0,0,1,1,11,47,80,78,69,50,39,334,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,333,24,4,0,0,0,0,0,0,0,0,0,1,1,11,47,80,78,69,45,24,1,0,0,0,0,0,0,0,0,2.73989,0.13186,3.39884,2.24697,3727,206,103,1,8,95.6433,34.72334179,8.3604,10.6745,5.8908,40,19,17,18,27,38,50,71,69,53,37,25,268,6,0,0,0,0,0,0,0,0,6,6,5,3,3,4,3,5,32,9,15,16,268,6,0,0,0,0,0,0,0,0,34,13,12,15,24,34,47,66,37,44,22,9,0,0,0,0,0,0,0,0,0,0,1.392,193.523,300.727,-2587.0248,298.5552
94,273,0.00025,4,992,542,450,1.46E-26,9.5604,21.3363,11.7759,14.3655,2.4056,0.4757,-0.478,13,45,64,25,92,32,171,134,17,4,0,0,0,0,0,0,0,0,0,0,0,0,10.2742,12.0166,8.1756,0,0,0,0,3,10,57,87,100,100,61,58,481,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,480,31,4,0,0,0,0,0,0,0,0,0,0,3,10,57,87,100,100,58,34,1,0,0,0,0,0,0,0,0,2.74233,0.12848,3.39557,2.36634,5096,300,152,0,13,95.91,34.76049626,8.8085,10.8598,6.3378,29,16,31,18,37,34,63,93,115,82,30,41,389,14,0,0,0,0,0,0,0,0,2,4,15,4,0,2,7,6,54,11,8,27,388,14,0,0,0,0,0,0,0,0,27,12,16,14,37,32,56,87,61,71,22,14,1,0,0,0,0,0,0,0,0,0,0,162.616,302.445,-3508.3663,370.3537
151,303,0.00015,1,917,501,416,1.35E-26,8.5078,17.8642,9.3564,13.7129,1.7949,-0.2224,-0.2406,0,18,53,2,40,143,149,71,7,3,3,0,0,0,0,0,0,0,0,0,0,0,10.6521,12.4132,8.5312,0,0,0,1,4,3,31,71,92,97,77,83,232,192,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,225,190,31,3,0,0,0,0,0,0,0,0,1,4,3,31,71,92,97,75,33,7,2,0,0,0,0,0,0,0,2.78754,0.2139,3.39932,2.14921,4884,4,5,0,1,95.0556,34.06787209,1.1799,1.3054,1.0288,436,229,93,72,35,26,11,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,218,132,54,45,18,17,7,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,218,97,39,27,17,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,122.133,332.784,-3192.6195,392.8505
152,303,0.00015,2,927,521,406,1.36E-26,8.9212,17.9051,8.9839,13.7564,1.6952,-0.331,0.1262,0,10,51,1,37,160,136,65,6,0,2,0,0,0,0,0,0,0,0,0,0,0,10.7249,12.3647,8.6207,0,0,0,1,1,1,36,43,108,108,71,92,241,189,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,59,230,189,34,2,0,0,0,0,0,0,0,0,1,1,1,36,43,108,108,64,33,11,0,0,0,0,0,0,0,0,2.78129,0.20383,3.39919,2.28953,4971,0,9,0,3,95.1095,34.00676565,0.9299,1.0557,0.7685,453,264,112,49,28,14,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,237,146,72,31,18,10,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,216,118,40,18,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.108,89.78,346.928,-3248.4595,376.1105
161,303,0.000175,1,663,335,328,9.74E-27,8.3666,17.2606,8.894,12.2644,1.771,0.1315,-0.4967,0,22,61,1,34,96,121,58,9,9,1,0,0,0,0,0,0,0,0,0,0,0,10.4465,12.3612,8.4909,0,0,0,0,4,7,28,42,82,77,53,70,161,118,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,156,118,17,4,0,0,0,0,0,0,0,0,0,4,7,28,42,82,77,50,33,5,0,0,0,0,0,0,0,0,2.78292,0.20976,3.39905,2.27555,3463,2,1,1,2,94.947,33.98216284,1.8552,2.0657,1.6402,259,153,69,53,32,32,20,17,14,4,7,1,2,0,0,0,0,0,0,0,0,0,122,75,41,21,21,16,10,9,8,4,5,1,2,0,0,0,0,0,0,0,0,0,137,78,28,32,11,16,10,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,125.53,375.039,-2290.3584,301.9716
162,303,0.000175,2,693,354,339,1.02E-26,7.8975,16.7954,8.8979,12.4084,1.7802,0.1766,-0.4383,0,26,52,1,37,109,128,61,3,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5512,12.452,8.5664,0,0,0,0,0,2,36,41,77,94,61,54,165,132,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,160,131,28,3,0,0,0,0,0,0,0,0,0,0,2,36,41,77,94,57,26,5,1,0,0,0,0,0,0,0,2.78006,0.20868,3.39891,2.20643,3656,1,6,0,6,94.8228,34.07393726,1.4747,1.6328,1.3097,287,163,100,47,41,24,11,7,7,1,2,2,1,0,0,0,0,0,0,0,0,0,128,92,56,26,20,13,4,5,5,1,2,1,1,0,0,0,0,0,0,0,0,0,159,71,44,21,21,11,7,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,117.13,376.596,-2405.4213,304.2087
171,303,0.0002,1,645,267,378,9.48E-27,2.7113,18.5869,15.8756,12.5224,3.2444,-0.665,0.0004,0,34,72,3,46,115,129,74,6,5,2,1,0,0,0,0,0,0,0,0,0,0,9.9008,12.3296,8.1852,0,0,0,2,6,7,40,64,98,103,42,28,143,91,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,11,135,90,20,1,0,0,0,0,0,0,0,0,2,6,7,40,63,94,100,40,17,8,1,0,0,0,0,0,0,0,2.76282,0.19724,3.39883,2.11286,3193,6,28,1,10,94.4256,33.9804365,2.4248,2.7116,2.2222,219,120,76,45,56,31,26,20,22,13,5,5,7,0,0,0,0,0,0,0,0,0,80,59,28,16,24,15,9,5,13,2,4,5,7,0,0,0,0,0,0,0,0,0,139,61,48,29,32,16,17,15,9,11,1,0,0,0,0,0,0,0,0,0,0,0,3.186,184.788,399.843,-2177.3905,344.5595
172,303,0.0002,2,663,339,324,9.74E-27,6.9879,17.1182,10.1302,12.2492,1.8606,-0.2551,-0.2533,0,31,56,3,46,97,107,66,6,0,2,0,0,0,0,0,0,0,0,0,0,0,10.4133,12.292,8.4475,0,0,0,1,0,2,31,51,82,83,49,71,164,101,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,46,159,100,27,1,0,0,0,0,0,0,0,0,1,0,2,31,51,82,83,43,25,5,1,0,0,0,0,0,0,0,2.77549,0.20436,3.39979,2.31368,3452,8,22,0,8,94.8882,34.10190465,2.365,2.587,2.1327,248,122,67,45,46,27,26,22,21,26,2,6,5,0,0,0,0,0,0,0,0,0,116,65,39,24,14,18,15,12,11,12,2,6,5,0,0,0,0,0,0,0,0,0,132,57,28,21,32,9,11,10,10,14,0,0,0,0,0,0,0,0,0,0,0,0,1.55,130.179,361.092,-2295.9769,296.3531
181,303,0.000225,1,338,150,188,4.97E-27,5.3642,13.1725,7.8083,9.6069,1.5119,-0.012,-0.5148,0,14,32,5,28,62,59,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0947,12.34,8.3032,0,0,0,0,0,4,26,21,52,43,31,24,75,56,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,71,56,6,0,0,0,0,0,0,0,0,0,0,0,4,26,21,52,43,31,7,4,0,0,0,0,0,0,0,0,2.76392,0.19592,3.39907,2.33905,1706,3,5,0,7,94.4855,33.87556331,1.8698,2.1067,1.6809,120,77,35,36,28,16,11,7,5,0,3,0,0,0,0,0,0,0,0,0,0,0,48,36,15,15,12,9,5,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,72,41,20,21,16,7,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.035,404.306,-1152.4734,169.1066
